# scene	path	in	out	notes
1	/home/patrouch/AGRia-Video-Studio/Projects/009-20251107-Antoine-MopHairTwist/scenes/close-up/wan_output/MopHairTwist9x16.mp4	00:00:00.000	00:00:10.000	close-up start
2	/home/patrouch/AGRia-Video-Studio/Projects/009-20251107-Antoine-MopHairTwist/scenes/All-eyes/wan_output/EyesMoving.mp4	00:00:00.000	00:00:05.000	eyes moving
3	/home/patrouch/AGRia-Video-Studio/Projects/009-20251107-Antoine-MopHairTwist/scenes/close-up/wan_output/MopHairTwistOriginal.mp4	00:00:00.000	00:00:10.000	original close-up
4	/home/patrouch/AGRia-Video-Studio/Projects/009-20251107-Antoine-MopHairTwist/scenes/close-up/wan_output/MopHairTwist9x16.mp4	00:00:00.000	00:00:10.000	close-up repeat
5	/home/patrouch/AGRia-Video-Studio/Projects/009-20251107-Antoine-MopHairTwist/scenes/All-eyes/wan_output/EyesMoving.mp4	00:00:00.000	00:00:05.000	eyes again
6	/home/patrouch/AGRia-Video-Studio/Projects/009-20251107-Antoine-MopHairTwist/scenes/blue-leaves-ablowin/wan_output/BlueLeavesAblowin.mp4	00:00:00.000	00:00:05.000	leaves finale
